Row Created Date Time, Sponsor Name, Sponsor Code, Agency Name, Agency Code,Facility Name, Facility Code, Program Name, Program Code, Populations Served, Agency Phone, Program Phone,  Program Address 1, Program Address 2, Program City, Program State, Program Zip, Operating Certificate Required?, Program Tier, Operating Certificate Duration, Program County, Program Region, Program Type Description, Program Category Description, Program Subcategory Description,Georeference
05/04/2022 09:38:35 AM,Lakeview Health Services Inc.,251099,Lakeview Health Services Inc.,10490,Lakeview Health Services Inc.,7036,Lakeview-Supported Housing - Ontario County - Comm. Svcs,630,Adults,(315)789-5501,Not Available,,,,NY,,N,,,Ontario,Western New York,Supportive Housing,Residential,Unlicensed Housing,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Independent Living Inc.,808099,Independent Living Inc.,16650,Independent Living Inc.,8581,Self Direction,020,Adults,(845)565-1162,(845)565-1162,5 Washinton Terrace,,Newburgh,NY,12550,N,,,Orange,Hudson River,CORE Empowerment Services - Peer Supports,Support,Adult BH HCBS Services/CORE Services,
05/04/2022 09:38:35 AM,Orange County Department of Mental Health,335099,Orange County Department of Mental Health,70430,Orange County Department of Mental Health,7201,Network Sessions,474,,(845)291-2600,(845)291-2611,30 Harriman Drive,,Goshen,NY,10924-2410,N,,,Orange,Hudson River,Advocacy/Support Services,Support,Self-Help,POINT (-74.319729 41.389418)
05/04/2022 09:38:35 AM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Otsego Apartments,421,Adults,(518)464-1511,Not Available,,,,NY,,Y,,36,Otsego,Central New York,Apartment/Treatment,Residential,Treatment Program,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Mental Health Association in Putnam County,000080,Mental Health Association in Putnam County,25710,Mental Health Association in Putnam County,9022,Self Help Programs,475,Adults,(845)278-7600,(845)278-7600x202,2505 Carmel Avenue Suite 212,Brewster Square,Brewster,NY,10509,N,,,Putnam,Hudson River,Self-Help Programs,Support,Self-Help,POINT (-73.632289 41.399006)
05/04/2022 09:38:35 AM,ACMH Inc.,027099,ACMH Inc.,18780,ACMH Inc.,7062,Queens Treatment Apartment Program,004,Adults,(212)274-8558,Not Available,,,,NY,,Y,,36,Queens,New York City,Apartment/Treatment,Residential,Treatment Program,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,CHDFS Inc.,000939,CHDFS INC.,48090,CHDFS INC.,8365,CFTSS: Psychosocial Rehabilitation,007,Children,(212)695-4562,(845)203-8555,1 Blue Hill Plaza 3rd Floor,,Pearl River,NY,10965,N,,,Rockland,Hudson River,CFTSS: Psychosocial Rehabilitation (PSR),Support,General Support,POINT (-74.00938 41.048953)
05/04/2022 09:38:35 AM,Mental Health Association of Rockland County Inc.,376099,Mental Health Association of Rockland County,70470,Mental Health Association of Rockland County,7196,MHA Rockland SH/Rockland Cty PC Long Stay - Comm Svcs,631,Adults,(845)267-2172,Not Available,,,,NY,,N,,,Rockland,Hudson River,Supportive Housing,Residential,Unlicensed Housing,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,RISE Housing and Support Services Inc.,464099,RISE Housing and Support Services Inc.,50590,RISE Housing and Support Services Inc.,7139,SH Community Services-Comm.Svcs,630,Adults,(518)587-6193,Not Available,,,,NY,,N,,,Saratoga,Hudson River,Supportive Housing,Residential,Unlicensed Housing,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Unity House of Troy Inc.,480099,Unity House of Troy Inc.,40230,Unity House of Troy Inc.,6447,Peer Supp/PSHYCH - Schenectady,023,Adolescents Adults,(518)274-2633,(518)465-5201,339 Broadway,,Menands,NY,12204,N,,,Schenectady,Hudson River,Supported Education,Support,Education,POINT (-73.722509 42.694429)
05/04/2022 09:38:35 AM,United Helpers Care Inc./dba Mosaic,477099,United Helpers Care Inc./dba Mosaic,22690,United Helpers Care Inc./dba Mosaic,7530,United Helpers - Gateway Apartments,430,Adults,(315)393-3072,Not Available,,,,NY,,Y,,36,St. Lawrence,Central New York,Apartment/Treatment,Residential,Treatment Program,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Adelante of Suffolk County,642099,Adelante of Suffolk County,10540,Adelante of Suffolk County,8605,Representative Payee Program,003,Adults,(631)234-1049x315,(631)234-1049x227,10 Third Ave,,Brentwood,NY,11717,N,,,Suffolk,Long Island,Advocacy/Support Services,Support,Self-Help,POINT (-73.258854 40.776667)
05/04/2022 09:38:35 AM,Gateway Community Industries Inc.,166099,Gateway Community Industries Inc.,40170,Gateway Community Industries Inc.,6061,Gateway Manor,440,Adults,(845)331-1261,Not Available,,,,NY,,Y,,36,Ulster,Hudson River,Congregate/Treatment,Residential,Treatment Program,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Search For Change Inc.,431099,Search For Change Inc.,14180,Search For Change Inc.,6271,SFC Wyndover House,435,Adults,(914)428-5600x9228,Not Available,,,,NY,,Y,,36,Westchester,Hudson River,Congregate/Treatment,Residential,Treatment Program,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Westchester Jewish Community Services Inc.,499099,Westchester Jewish Community Services Inc.,14590,Westchester Jewish Community Services Inc.,6827,Grassland Social Club,477,Adults,(914)761-0600,(914)741-2200,250 Operations Drive,,Valhalla,NY,10595,N,,,Westchester,Hudson River,Psychosocial Club,Support,Self-Help,
05/04/2022 09:38:35 AM,Hillside Children's Center,197099,Hillside Children's Center,10690,Hillside Children's Center,7484,Wyoming Respite Program,479,Children Adolescents,(585)256-7585,(585)786-5900,96 W. Buffalo Street,,Warsaw,NY,14569,N,,,Wyoming,Western New York,Respite Services,Support,General Support,POINT (-78.134921 42.740228)
05/04/2022 09:38:35 AM,Wyoming County Community Hospital,593099,Wyoming County Community Hospital,83130,Wyoming County Community Hospital,8708,Screening,472,Adults,(585)786-2233x1222,(716)786-2233x4693,400 N. Main Street,,Warsaw,NY,14569-1097,N,,,Wyoming,Western New York,Outreach,Support,General Support,POINT (-78.132426 42.754534)
05/04/2022 09:38:35 AM,Manhattan Psychiatric Center,910099,Manhattan Psychiatric Center,90100,Manhattan Psychiatric Center,0010,Psychiatric Inpatient Unit,501,Adults,(646)766-5000,(646)672-6767,Wards Island Complex,,New York,NY,10035,N,,,New York,New York City,State Psychiatric Center Inpatient,Inpatient,State Psychiatric Center Inpatient,
05/04/2022 09:38:35 AM,DePaul Community Services Inc.,126099,DePaul Community Services Inc.,17600,DePaul Community Services Inc.,7126,Edgerton Square,457,Adults,(585)426-8000,Not Available,,,,NY,,Y,,36,Monroe,Western New York,SRO Community Residence,Residential,Treatment Program,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Directions in Independent Living Inc.,883099,Directions in Independent Living Inc.,11470,Directions in Independent Living Inc.,7805,Mental Health Peer Advocate,001,Children Adolescents Adults,(716)373-4602,(716)373-4602,512 West State Street,,Olean,NY,14760,N,,,Cattaraugus,Western New York,Advocacy/Support Services,Support,Self-Help,POINT (-78.43576 42.077453)
05/04/2022 09:38:35 AM,Clinton County Community Services Board,101099,Clinton County Community Services Board,70020,Clinton County Community Services Board,6855,Case Management,009,Children Adolescents Adults,(518)565-4060,(518)565-4060,130 Arizona Ave Ste 1500,,Plattsburgh,NY,12903,N,,,Clinton,Central New York,Non-Medicaid Care Coordination,Support,Care Coordination,POINT (-73.462253 44.665181)
05/04/2022 09:38:35 AM,Mental Health Empowerment Project Inc.,800099,Mental Health Empowerment Project Inc.,27100,Mental Health Empowerment Project Inc.,7492,Westchester OMH Contract,010,Adults,(518)434-1393,(518)434-1393,3 Atrium Drive,Suite 205,Albany,NY,12205,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,POINT (-73.77634 42.68884)
05/04/2022 09:38:35 AM,Mental Health Services-Erie County Southeast Corporation V dba Spectrum Human Services,270099,MH Servs-Erie Co SE Corp V dba Spectrum HSvcs,50240,MH Servs-Erie Co SE Corp V dba Spectrum HSvcs,6845,Spectrum Wyoming Co. POEMS,024,Children Adolescents,(716)662-2040,(585)786-0220,34 N. Main Street,,Warsaw,NY,14569,N,,,Wyoming,Western New York,Advocacy/Support Services,Support,Self-Help,POINT (-78.132582 42.740705)
05/04/2022 09:38:35 AM,Hillside Children's Center,197099,Hillside Children's Center,10690,Hillside Children's Center,7484,CFTSS - Family Peer Support (FPSS),158,Children Adolescents,(585)256-7585,(585)256-7500,1183 Monroe Avenue,,Rochester,NY,14620,N,,,Monroe,Western New York,CFTSS: Family Peer Support Services (FPSS),Support,General Support,POINT (-77.579253 43.138341)
05/04/2022 09:38:35 AM,University Settlement Society of New York,485099,University Settlement Society of New York,18450,University Settlement Society of New York,6745,Home Based Crisis Intervention Program,460,Children Adolescents,(212)453-4522,(212)453-4593,189 Allen  Street,,New York,NY,10002,N,,,New York,New York City,Home Based Crisis Intervention,Emergency,Crisis,POINT (-73.989127 40.722023)
05/04/2022 09:38:35 AM,New York Psychiatric Institute,914099,New York Psychiatric Institute,90130,New York Psychiatric Institute,0014,Psychiatric Inpatient Unit,500,Adults,(646)774-5300,,1051 Riverside Drive,,New York,NY,10032,N,,,New York,New York City,State Psychiatric Center Inpatient,Inpatient,State Psychiatric Center Inpatient,POINT (-73.94402 40.842415)
05/04/2022 09:38:35 AM,Brooklyn Bureau of Community Service,446099,Brooklyn Bureau of Community Service,40700,Brooklyn Bureau of Community Service,7958,Youth Stand United,422,Adolescents,(718)310-5600,(718)566-0305,2673 Atlantic Avenue,,Brooklyn,NY,11207,N,,,Kings,New York City,Vocational Services - Children & Family (C & F),Support,Vocational,POINT (-73.895659 40.675897)
05/04/2022 09:38:35 AM,Dutchess County Department of Behavioral and Community Health,129099,Dutchess Cnty Dept of Beh & Community Health,70180,Dutchess Cnty Dept of Beh & Community Health,7210,Dutchess County Partial Hospitalization Program,320,Adults,(845)486-2700,(845)486-2700,230 North Road,,Poughkeepsie,NY,12601-1328,Y,,36,Dutchess,Hudson River,Partial Hospitalization,Outpatient,Partial Hospitalization,POINT (-73.929552 41.7167)
05/04/2022 09:38:35 AM,New York City Health and Hospitals Corporation Bellevue Hospital Center,035099,NYC-HHC Bellevue Hospital Center,85120,NYC-HHC Bellevue Hospital Center,6566,Children's Partial Hospital Program (CPHP),014,Children Adolescents,(212)562-3697,,462 First Avenue,21st Floor,New York,NY,10016-9196,Y,,36,New York,New York City,Partial Hospitalization,Outpatient,Partial Hospitalization,POINT (-73.976773 40.739353)
05/04/2022 09:38:35 AM,CHDFS Inc.,000939,CHDFS INC.,48090,CHDFS INC.,8365,CFTSS: Psychosocial Rehabilitation (PSR),006,Children,(212)695-4562,(212)695-4564,307 West 38 Street 6th Floor,,New York City,NY,10018,N,,,New York,New York City,CFTSS: Psychosocial Rehabilitation (PSR),Support,General Support,POINT (-73.992325 40.755001)
05/04/2022 09:38:35 AM,New York Flushing Hospital and Medical Center,154099,New York Flushing Hospital and Medical Center,81240,New York Flushing Hospital and Medical Center,6641,New York Flushing Hospital and Medical Center Clinic,100,Children Adolescents Adults,(718)670-5000,(718)670-5562,146-01 45th Avenue,,Flushing,NY,11355-2200,Y,,36,Queens,New York City,Clinic Treatment,Outpatient,Clinic Treatment,POINT (-73.816879 40.754827)
05/04/2022 09:38:35 AM,NAMI Rockland,143099,NAMI Rockland,43070,NAMI Rockland,7822,NAMI-FAMILYA of Rockland County Inc.,001,Adolescents Adults,(845)359-8787,(845)359-8787,140 Old Orangeburg Road,Rpc Bldg 57 1st Fl Rm C102,Orangeburg,NY,10962-0635,N,,,Rockland,Hudson River,Advocacy/Support Services,Support,Self-Help,POINT (-73.969644 41.044488)
05/04/2022 09:38:35 AM,North Country Transitional Living Services Inc.,583099,North Country Transitional Living Servs Inc.,12290,North Country Transitional Living Servs Inc.,7169,Adult BHHCBS Psyhosocial Rehab.(Non Licensed Program),058,Adults,(315)782-1777,(315)782-1777x1016,482 Black River Parkway,,Watertown,NY,13601-2413,N,,,Jefferson,Central New York,CORE Psychosocial Rehabilitation (PSR),Support,Adult BH HCBS Services/CORE Services,POINT (-75.916942 43.980199)
05/04/2022 09:38:35 AM,Hillside Children's Center,197099,Hillside Children's Center,10690,Hillside Children's Center,7484,GLOW Family Support - Genesee County,471,Children Adolescents Adults,(585)256-7585,(585)786-5900,96 W. Buffalo Street,,Warsaw,NY,14569,N,,,Genesee,Western New York,Family Peer Support Services - Children & Family,Support,General Support,POINT (-78.134921 42.740228)
05/04/2022 09:38:35 AM,Rockland Hospital Guild Inc.,381099,Rockland Hospital Guild Inc.,14410,Rockland Hospital Guild Inc.,6359,Rockland Hospital Guild SH/Rockland Co PC Long Stay Comm Svc,631,Adults,(845)680-6226,Not Available,,,,NY,,N,,,Rockland,Hudson River,Supportive Housing,Residential,Unlicensed Housing,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Mental Health Association of Nassau County Inc.,262099,Mental Health Association of Nassau County I,23250,Mental Health Association of Nassau County I,7232,Crisis Respite Beds,035,Children,(516)489-2322,(516)489-2322,16 Mains Street,,Hempstead,NY,11550,N,,,Nassau,Long Island,Family Peer Support Services - Children & Family,Support,General Support,POINT (-73.62386 40.706834)
05/04/2022 09:38:35 AM,Elmira Psychiatric Center,134099,Elmira Psychiatric Center,90250,Elmira Psychiatric Center,0035,Southern Tier ACT Team,188,Adults,(607)737-4711,(607)737-4846,100 Washington Street,,Elmira,NY,14901-2898,Y,,36,Chemung,Western New York,Assertive Community Treatment (ACT),Outpatient,Assertive Community Treatment,POINT (-76.795313 42.091164)
05/04/2022 09:38:35 AM,Concern for Independent Living Inc.,103099,Concern for Independent Living Inc.,16390,Concern for Independent Living Inc.,7609,Concern Amityville SP/SRO,010,Adults,(631)758-0474,Not Available,,,,NY,,N,,,Suffolk,Long Island,Supportive Single Room Occupancy (SP-SRO),Residential,Unlicensed Housing,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,St. Lawrence County Community Services Board,399099,St. Lawrence County Community Services Board,70700,St. Lawrence County Community Services Board,6887,Transportation,007,Adults,(315)386-2048,(315)386-1102,One Commerce Lane,St. Lawrence County Cdp,Canton,NY,13617,N,,,St. Lawrence,Central New York,Transportation,Support,General Support,
05/04/2022 09:38:35 AM,Transitional Services for New York Inc.,463099,Transitional Services for New York Inc.,23680,Transitional Services for New York Inc.,6841,Western/Central Region Queens Mobile Outreach Program,011,Adults,(718)746-6647x11,(718)526-8400x0136,90-27 Sutphin Boulevard,5th Floor,Jamaica,NY,11435,N,,,Queens,New York City,Outreach,Support,General Support,POINT (-73.808164 40.702407)
05/04/2022 09:38:35 AM,Gotham Health FQHC,173099,NYC-HHC East New York D&T Center,17340,NYC-HHC East New York D&T Center,8724,East New York Diagnostic & Tx Center Depart of Behav Health,100,Children Adolescents Adults,(718)240-0600,(718)240-0600x603,2094 Pitkin Avenue,,Brooklyn,NY,11207-3509,Y,,36,Kings,New York City,Clinic Treatment,Outpatient,Clinic Treatment,POINT (-73.89527 40.671981)
05/04/2022 09:38:35 AM,Yates County Community Services,726099,Yates County Community Services,70390,Yates County Community Services,6593,School-based services,019,Children Adolescents,(315)536-5115,(315)536-5540x4331,417 Liberty Street,,Penn Yan,NY,14527,N,,,Yates,Western New York,School Mental Health Program,Support,Education,POINT (-77.058231 42.663932)
05/04/2022 09:38:35 AM,WNY Independent Living Inc.,460099,WNY Independent Living Inc.,15620,WNY Independent Living Inc.,8752,Life Coaching,013,Adults,(716)836-0822,(716)836-0822x162,3108 Main Street,,Buffalo,NY,14214,N,,,Erie,Western New York,Advocacy/Support Services,Support,Self-Help,POINT (-78.827953 42.949351)
05/04/2022 09:38:35 AM,Center for Behavioral Health Services,756099,Center for Behavioral Health Services,26310,Center for Behavioral Health Services,9288,CBHS Supported Housing/Kings - Comm. Svcs,630,Adults,(718)312-3919,Not Available,,,,NY,,N,,,Kings,New York City,Supportive Housing,Residential,Unlicensed Housing,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Livingston County Mental Health Services,241099,Livingston County Mental Health Services,70410,Livingston County Mental Health Services,6931,Transitional Management Services,008,Adults,(716)243-7250,(585)243-7250,4600 Millennium Drive,,Geneseo,NY,14454,N,,,Livingston,Western New York,Transition Management Services,Support,Care Coordination,POINT (-77.790425 42.798267)
05/04/2022 09:38:35 AM,Transitional Services for New York Inc.,463099,Transitional Services for New York Inc.,23680,Transitional Services for New York Inc.,6841,TSNY - 1 South Community Residence,007,Adults,(718)746-6647x11,Not Available,,,,NY,,Y,,36,Queens,New York City,Congregate/Treatment,Residential,Treatment Program,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Citizen Advocates Inc. dba North Star Industries,097099,Citizen Advocates Inc. dba North Star Indust,40410,Citizen Advocates Inc. dba North Star Indust,7533,Mountain Crest,503,,(518)483-1251,(518)891-2549,43 River Street,,Saranac Lake,NY,12983,N,,,Franklin,Central New York,Psychosocial Club,Support,Self-Help,POINT (-74.129805 44.3246)
05/04/2022 09:38:35 AM,Westhab Inc.,683099,Westhab Inc.,14790,Westhab Inc.,7956,Homeless Outreach,005,Adults,(914)345-2800x123,(914)345-2800,101 N. Broadway,,Yonkers,NY,10701,N,,,Westchester,Hudson River,Outreach,Support,General Support,POINT (-73.896978 40.937524)
05/04/2022 09:38:35 AM,Cattaraugus Rehabilitation Center Inc. dba Intandem,100099,Cattaraugus Rehab Center Inc. dba Intandem,15420,Cattaraugus Rehab Center Inc. dba Intandem,7924,Catt Rehab Center CFTSS FPSS,044,Children Adolescents,(716)375-4747,(716)375-4747,1439 Buffalo Street,,Olean,NY,14760,N,,,Cattaraugus,Western New York,CFTSS: Family Peer Support Services (FPSS),Support,General Support,POINT (-78.447968 42.086749)
05/04/2022 09:38:35 AM,Postgraduate Center for Mental Health Inc.,347099,Postgraduate Center for Mental Health Inc.,18270,Postgraduate Center for Mental Health Inc.,6728,PCMH Queens ACT Team,033,Adults,(212)889-5500,(718)555-5555,163-18 Jamaica Avenue,,Jamaica,NY,11432-4919,Y,,36,Queens,New York City,Assertive Community Treatment (ACT),Outpatient,Assertive Community Treatment,POINT (-73.796344 40.704882)
05/04/2022 09:38:35 AM,Eating Disorder Treatment of New York LLC,001079,Eating Disorder Treatment of New York LLC,48380,Eating Disorder Treatment of New York LLC,8161,Clementine Hudson Valley,007,Adolescents,(310)589-8999,Not Available,,,,NY,,Y,,6,Westchester,Hudson River,Community Residence for Eating Disorder Integrated Treatment Program,Residential,Treatment Program,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Mount Sinai Hospitals Group Inc.,287099,Beth Israel Medical Center,83040,Beth Israel Medical Center,6585,Beth Israel Medical Center Adult Clinic,110,Adults,(212)420-5628,(212)420-4135,10 Nathan D Perlman Place,,New York,NY,10003-3881,Y,,36,New York,New York City,Clinic Treatment,Outpatient,Clinic Treatment,POINT (-73.983185 40.733338)
05/04/2022 09:38:35 AM,South Beach Psychiatric Center,936099,South Beach Psychiatric Center,90260,South Beach Psychiatric Center,0036,South Richmond Clinic,245,Adults,(718)667-2300,(718)667-2855,777 Seaview Avenue,Building 10 2nd Floor,Staten Island,NY,10305-3409,Y,,36,Richmond,New York City,Clinic Treatment,Outpatient,Clinic Treatment,POINT (-74.078937 40.579925)
05/04/2022 09:38:35 AM,St. Mary's Healthcare,302099,St. Mary's Healthcare,85350,St. Mary's Healthcare,7328,St. Mary's Healthcare - HHCM,060,Adults,(518)842-1900,(518)842-1900,427 Guy Park Avenue,,Amsterdam,NY,12010,N,,,Fulton,Central New York,Health Home Care Management,Support,Care Coordination,POINT (-74.215651 42.95352)
05/04/2022 09:38:35 AM,New York City Children's Center,935099,New York City Children's Center,90330,New York City Children's Center,0048,NYCCC Bronx Day Treatment (BDT),482,Children Adolescents,(718)264-4500,(929)348-4560,595 Gerard Avenue,,Bronx,NY,10451-5239,Y,1,36,Bronx,New York City,Day Treatment,Outpatient,Day Treatment,POINT (-73.9287 40.820376)
05/04/2022 09:38:35 AM,Apropos Housing Opportunities and Management Entererprises Inc.,634099,Apropos Housing Opportunities and Management,12410,Apropos Housing Opportunities and Management,8633,Supported Housing - Grove Street Mt. Kisco - Comm. Svcs,631,Adults,(914)741-0740,Not Available,,,,NY,,N,,,Westchester,Hudson River,Supportive Housing,Residential,Unlicensed Housing,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Lighthouse Guild International Inc.,225099,JGB Mental Health and Mental Retardation Svcs,40470,JGB Mental Health and Mental Retardation Svcs,6711,JGB Mental Health and Mental Retardation Services Inc. CTP,130,Children Adolescents Adults,(212)769-6200,(212)769-7800,80 West End Avenue,4th Floor,New York,NY,10023-6391,Y,,36,New York,New York City,Clinic Treatment,Outpatient,Clinic Treatment,POINT (-73.988608 40.774189)
05/04/2022 09:38:35 AM,Mental Health Association in Essex County,637099,Mental Health Association in Essex County,12370,Mental Health Association in Essex County,8651,Community Services Non-Medicaid Care Coordination,003,Children Adolescents Adults,(518)962-2077,(518)962-2077,6096 Nys Route 9n,,Westport,NY,12993,N,,,Essex,Central New York,Non-Medicaid Care Coordination,Support,Care Coordination,POINT (-73.428137 44.159056)
05/04/2022 09:38:35 AM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,Non-Medicaid CC - Sullivan Vocational,134,Adults,(518)464-1511,(845)791-1521,22 Crystal Street,,Monticello,NY,12701,N,,,Sullivan,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,POINT (-74.688934 41.663079)
05/04/2022 09:38:35 AM,St. Anne Institute,000121,St. Anne Institute,14350,St. Anne Institute,6268,Vocational Day Services,400,Adolescents,(518)437-6500,(518)437-6592,160 N. Main Avenue,,Albany,NY,12206-1893,N,,,Albany,Hudson River,Vocational Services - Children & Family (C & F),Support,Vocational,POINT (-73.781889 42.671201)
05/04/2022 09:38:35 AM,Postgraduate Center for Mental Health Inc.,347099,Postgraduate Center for Mental Health Inc.,18270,Postgraduate Center for Mental Health Inc.,6728,Postgraduate Center for Mental Health - HH Non - Medicaid CM,025,Adults,(212)889-5500,(212)889-5500,158 East 35th Street,,New York,NY,10016,N,,,New York,New York City,Health Home Non-Medicaid Care Management,Support,Care Coordination,POINT (-73.97822 40.746628)
